
> backend@1.0.0 start
> node server.js

Backend + Socket.IO running on port 5000
Socket connected: wcII0SBli_BYzkosAAAB
Socket disconnected: wcII0SBli_BYzkosAAAB
Socket connected: ywKvdC5iQy8q6wrkAAAD
Socket disconnected: ywKvdC5iQy8q6wrkAAAD
Socket connected: GDmIU3vDA6NAyy2dAAAF
Socket disconnected: GDmIU3vDA6NAyy2dAAAF
Socket connected: 1SLlV3UcI_4Xgc7FAAAH
Socket disconnected: 1SLlV3UcI_4Xgc7FAAAH
Socket connected: IfE87SuecwHdfF-BAAAJ
Socket disconnected: IfE87SuecwHdfF-BAAAJ
Socket connected: QyOgbOTZMrfM6tkoAAAL
Socket connected: fLHVjUwP7Qa5opYlAAAN
Socket disconnected: fLHVjUwP7Qa5opYlAAAN
Socket connected: G-wg01tIVhsIHXflAAAP
Socket disconnected: G-wg01tIVhsIHXflAAAP
Socket connected: k1pfyl27aPszQ3QeAAAR
Socket disconnected: k1pfyl27aPszQ3QeAAAR
Socket connected: 8M7sfbghwCo8G-E6AAAT
Socket disconnected: QyOgbOTZMrfM6tkoAAAL
Socket disconnected: 8M7sfbghwCo8G-E6AAAT
Socket connected: B3ySr3BNnnW2zLOzAAAV
Socket disconnected: B3ySr3BNnnW2zLOzAAAV
Socket connected: vwG-THLnEPBl6KBfAAAY
Socket disconnected: vwG-THLnEPBl6KBfAAAY
Socket connected: rxmWa5KEXYW0X5qJAAAe
Socket connected: FoXbGOS7D5tz_AtCAAAh
Socket disconnected: FoXbGOS7D5tz_AtCAAAh
Socket connected: IZraSukCzpS3imChAAAk
Socket connected: ektxNNYAoL-xWKGLAAAn
Socket disconnected: ektxNNYAoL-xWKGLAAAn
Socket connected: e-QqHAgRG2nULs2BAAAq
Socket disconnected: e-QqHAgRG2nULs2BAAAq
Socket connected: lu4etlr-62R8DrlOAAAt
Socket disconnected: lu4etlr-62R8DrlOAAAt
Socket connected: dRLS3Tlp8zzAmsW8AAAw
Socket disconnected: rxmWa5KEXYW0X5qJAAAe
Socket connected: Fr61tjbiUKAcoMNNAAAy
Socket disconnected: Fr61tjbiUKAcoMNNAAAy
Socket connected: DuWuOYsawd59BjmDAAA1
Socket disconnected: dRLS3Tlp8zzAmsW8AAAw
Socket disconnected: DuWuOYsawd59BjmDAAA1
Socket connected: YRefyqFMP3u-KXJMAAA3
Socket disconnected: YRefyqFMP3u-KXJMAAA3
Socket connected: Uu4yy5jISracKarKAAA8
Socket connected: CxLzyVe3yRwJNdyzAAA9
Socket disconnected: Uu4yy5jISracKarKAAA8
Socket disconnected: CxLzyVe3yRwJNdyzAAA9
Socket connected: d9U5oKKUZjw_yeISAABC
Socket connected: IXd0LtCyPwFmxDgOAABD
Socket disconnected: IZraSukCzpS3imChAAAk
